Treatment,Country,Sample_ID,Richness,Chao1,ACE,Shannon,InvSimpson,pielou,CropRichness,tillage_no_times,tillage_depth_max_cm,fertilizer_min_app_no,fertilizer_min_N_amount,fertilizer_org_app_no,fertilizer_organic_N_tot_amount,fertilizer_organic_N_min_amount,herb_no_app,fung_no_app,insect_no_app,Sample_No,MI,Axis.1,Axis.2,Lat,Long,Aboveground_biomass,Grain_biomass,Phytometer.shoots,Phytometer.roots,Total,Sand,Silt,Clay,CEC,MWD,C_tot_.,C_tot_mg,N_tot_.,N_tot_mg,P_tot_mg,P_Olsen,pH,Humus_.,Organic_C_.,CaCO3_.,C_microbial,N_microbial,P_resin,P_microbial,basal_respiration,C_org_mg,mean.BD..g.cm3.,mean.ad..g.cm3.,moisture
Arable,France,FR5,27,27.25,27.56759942,2.426270786,5.929434825,0.736162281,8,1,NA,4,250,0,0,0,3,1,0,38,NA,-0.064425533,0.033164713,43.647151,3.88559,NA,NA,2.03,0.99,3.02,29,48.6,20.4,20.14,NA,4.81,48100,0.142,1420,74.5,12.8,7.91,1.97,1.14,62.2,265.066,35.392,2.381107824,4.808658943,0.591954167,11400,1.263343303,1.246109135,0.076759062
Arable,France,FR7,3,3,3,1.078992208,2.882352941,0.982141033,3,2,20,2,140,0,0,0,1,1,0,40,0.441825459,-0.059340483,0.03270619,43.6167,3.974,NA,NA,2.2,1.22,3.42,39.4,31.3,27.9,22.22,NA,3.07,30700,0.101,1010,443.12,18.16,8.03,1.43,0.83,35.2,182.668,21.956,6.204604924,3.065157541,0.499558333,8300,1.238631141,1.238631141,0.072805139
Arable,France,FR8,6,6.333333333,7.090909091,1.671595278,4.828571429,0.932935088,3,1,20,1,NA,0,0,0,0,0,0,41,NA,-0.053432019,0.025379791,43.615902,3.976568,NA,NA,2.11,1.17,3.28,32.3,34.9,31.3,24.09,NA,2.27,22700,0.112,1120,405.35,19.95,8.01,1.49,0.86,39.2,205.226,18.588,5.12826499,2.272885106,0.530277778,8600,1.460504425,1.460504425,0.068085106
Arable,France,FR9,11,11.33333333,12.19922948,2.176009647,7.425702811,0.907466507,4,1,20,3,182,0,0,0,0,0,0,42,0.218628894,-0.011640897,0.00560738,43.61605,3.975727,NA,NA,1.75,0.83,2.58,35.4,33.2,30,19.92,NA,3.78,37800,0.1,1000,505.77,22.07,7.97,1.41,0.82,33.8,181.175,16.483,7.828346241,3.776649345,0.5059125,8200,1.482286172,1.482286172,0.063424947
Arable,France,FR10,6,12,18.88888889,0.494646468,1.246708643,0.27606745,5,1,20,3,182,0,0,0,1,NA,0,43,NA,-0.067035763,0.034378391,43.615201,3.975673,NA,NA,1.37,0.67,2.04,21.3,42.8,34.5,22.58,NA,2.09,20900,0.094,940,348.57,18.5,8.05,1.41,0.82,42.2,218.945,19.158,6.993096723,2.091018057,0.4031,8200,1.378946504,1.378946504,0.087982833
Arable,France,FR11,4,4,4.652263374,1.120367451,2.714285714,0.808174283,3,1,20,5,282,0,0,0,0,1,0,44,0.358945248,-0.065714253,0.036709103,43.6139,3.97918,NA,NA,2.31,1.84,4.15,38,33.6,27.2,17.34,NA,2.03,20300,0.092,920,349.3,12.62,8.09,1.18,0.68,36.7,128.378,14.799,2.846097002,2.028784692,0.453620833,6800,1.236740011,1.236740011,0.063559322
Arable,France,FR13,35,35.2,35.61097104,2.415042999,4.638238296,0.679270484,4,6,15,2,124,80,0,0,0,1,0,46,0.718150342,-0.041543942,0.02167026,47.1357,5.53039,NA,NA,2.33,1.27,3.6,10.9,46.5,40.1,37.42,NA,4.02,40200,0.173,1730,416.94,11.13,7.87,2.5,1.45,0.5,349.617,34.067,1.121239115,4.022137903,0.658204167,14500,1.09875731,1.062637128,0.140077821
Arable,France,FR14,2,2,3,0.636514168,1.8,0.918295834,3,1,NA,3,186,0,0,0,2,1,1,47,NA,-0.027528991,0.010122358,47.135861,5.52108,NA,NA,1.64,1.09,2.73,10.4,52.8,34.4,30.47,NA,7.44,74400,0.155,1550,676.28,34.29,7.83,2.37,1.37,3.7,266.016,32.186,9.660121551,7.443864964,0.652579167,13700,1.179028588,1.161306883,0.119733925
Arable,France,FR15,2,2,3,0.636514168,1.8,0.918295834,4,1,22,3,204,0,0,0,6,2,0,48,0.786844653,-0.00747268,-0.032180083,47.131621,5.53161,NA,NA,2.92,2,4.92,6.8,55,36.3,25.61,NA,4.25,42500,0.13,1300,570.8,30.95,6.5,1.88,1.09,0.4,245.286,18.886,17.32522463,4.247957812,0.304,10900,1.196614982,1.196614982,0.098684211
Arable,France,FR16,11,11.75,12.6351639,2.231414694,8.181818182,0.930572206,6,2,22,3,179,0,0,0,2,2,0,49,0.629596482,-0.026680887,-0.00198333,47.133361,5.45433,NA,NA,2.03,1.35,3.38,13.3,53.2,31.9,25.66,NA,3.1,31000,0.117,1170,442.34,29.34,6.9,1.59,0.92,0.3,176.473,14.255,16.90450649,3.101796041,0.257995833,9200,1.219214485,1.219214485,0.093167702
Arable,France,FR17,11,11,11.53472222,1.274024832,2.045500506,0.531309622,5,3,22,5,119,0,0,0,3,1,0,50,0.670101372,-0.052981201,0.019791986,47.133872,5.33897,NA,NA,1.71,0.91,2.62,14.3,54.4,26.4,34.4,NA,9.89,98900,0.317,3170,873.08,21.59,7.9,4.89,2.83,52.4,487.691,76.736,1.571587723,9.893469922,0.667058333,28300,1.061725596,1.061725596,0.162895928
Arable,France,FR18,10,10.33333333,11.05333333,1.856196081,4.373650108,0.806135715,6,2,22,5,205,0,0,0,4,1,1,51,0.836123932,-0.029465619,-0.01700153,47.143577,5.35308,NA,NA,2.21,1.7,3.91,13.2,54.4,30.4,25.81,NA,1.2,12000,0.141,1410,750.85,55.21,7.1,1.99,1.15,0.4,252.577,29.472,45.0582212,1.198873986,0.4046875,11500,1.204041579,1.204041579,0.096969697
Arable,France,FR21,10,15,16.33106576,2.013869771,6.035714286,0.874612529,2,5,NA,3,136,0,0,0,4,2,0,54,NA,-0.018239144,0.005647623,47.243276,5.100211,NA,NA,1.6,0.57,2.17,11.1,55.5,32,22.37,NA,3.83,38300,0.1,1000,786.49,68.55,6.81,1.38,0.8,0.2,140.633,13.623,37.44794809,3.825485961,0.260069444,8000,1.20186957,1.255891656,0.088552916
Arable,France,FR22,2,3,NA,0.693147181,2,1,5,3,NA,3,116,0,0,0,0,2,0,55,NA,-0.027641881,-0.017732708,47.240649,5.09639,NA,NA,1.74,1.75,3.49,11.2,42.8,43.4,38.86,NA,3.1,31000,0.178,1780,698.21,40.97,7.52,2.6,1.51,0.3,288.524,23.587,15.31289378,3.102582236,0.515729167,15100,1.116585537,1.107312595,0.10840708
Arable,France,FR23,6,6,6.4,1.684372971,4.923076923,0.940066454,7,2,NA,3,156,0,0,0,1,2,0,56,NA,-0.018515669,0.001420481,47.235864,5.103856,NA,NA,2.07,1.4,3.47,11.5,43.2,42.8,35.64,NA,NA,NA,0.189,1890,1739.87,149.15,7.2,2.54,1.47,2.2,260.164,21.068,97.99125065,18.24740289,0.358,14700,1.104750042,1.087124147,0.110882957
Arable,France,FR24,3,3,3.53909465,0.943348392,2.380952381,0.858672711,4,2,NA,3,143,0,0,0,1,2,0,57,NA,-0.002198379,-0.013055848,47.232725,5.111105,NA,NA,2.25,1.09,3.34,10.9,41,45.1,36.58,NA,4,40000,0.216,2160,968.72,59.66,7.91,2.98,1.73,1.9,413.212,35.292,19.02172944,3.999825175,0.773472222,17300,1.107717325,1.082481098,0.138636364
Arable,France,FR27,1,1,1,0,1,NA,2,3,30,6,180,88.5,0,0,4,1,1,60,1,-0.033101406,0.01714374,47.38979,4.774691,NA,NA,3.27,1.36,4.63,7.2,36.3,51.6,37.66,NA,6.34,63400,0.332,3320,1213.3,39.7,7.33,4.87,2.82,2.6,612.671,78.662,12.04402583,6.342428008,1.302152778,28200,1.036439622,0.962548085,0.134529148
Arable,France,FR28,3,3,3,0.99502699,2.454545455,0.905712598,3,3,30,7,180,88.5,0,0,3,1,1,61,0.939381905,-0.029636252,0.009080154,47.389958,4.774793,NA,NA,2.85,0.59,3.44,7.2,37.7,50.4,37.55,NA,5.57,55700,0.329,3290,1162.98,45.91,7.41,4.73,2.74,3.1,578.896,46.448,21.40540732,5.565559011,1.178888889,27400,1.308575569,1.223072987,0.118568233
Arable,France,FR29,5,6,7.102014295,1.277288406,2.941176471,0.793623908,4,3,30,8,180,88.5,0,0,4,1,1,62,1,-0.013266481,-0.003258386,47.390044,4.774831,NA,NA,2.42,1.96,4.38,7.3,40,48.2,37.04,NA,11.44,114400,0.332,3320,1122.36,42.35,7.69,4.52,2.62,2.2,558.137,45.722,3.514358464,11.44034303,1.2878125,26200,1.170485905,1.118562129,0.125279642
Arable,France,FR30,2,2,NA,0.154076104,1.073972603,0.222284831,4,3,30,9,180,88.5,0,0,3,1,1,63,0.939381905,-0.027095121,-6.74E-04,47.39015,4.774936,NA,NA,2.9,1.54,4.44,4.9,39.7,51,37.17,NA,6.64,66400,0.318,3180,1047.46,42.57,7.53,4.42,2.56,1,559.732,43.571,16.00930205,6.635368232,0.944166667,25600,1.178210577,1.096041198,0.117256637
Arable,France,FR31,2,2,2,0.680629488,1.951351351,0.981940787,4,3,30,10,180,88.5,0,0,3,1,1,64,0.939381905,-0.029515099,-5.62E-04,47.390289,4.775035,NA,NA,2.79,1.68,4.47,6.5,38.8,50.3,43.62,NA,2.69,26900,0.317,3170,1107.34,41.51,7.55,4.38,2.54,1.1,563.81,45.115,16.13148539,2.686893445,0.86625,25400,1.219045102,1.167893178,0.116740088
Arable,France,FR32,5,5,5.45471097,1.47013192,3.92,0.913444321,4,3,30,11,180,88.5,0,0,3,1,1,65,0.939381905,-0.030835247,0.019436612,47.390386,4.775062,NA,NA,2.82,2,4.82,2.5,38.4,54.9,39.12,NA,5.62,56200,0.314,3140,1081.97,42.19,7.73,4.23,2.45,1.2,587.185,47.959,15.05929772,5.624927063,1.01125,24500,1.145557416,1.076550197,0.164079823
Arable,France,FR33,2,2,2,0.693147181,2,1,3,3,30,12,180,88.5,0,0,3,1,1,66,0.939381905,-0.014174464,0.004209364,47.390526,4.775187,NA,NA,2.18,1.76,3.94,13.6,35.3,46.2,37.68,NA,10.9,109000,0.353,3530,1080.58,33.97,7.5,4.87,2.82,1.4,594.112,43.872,10.83878474,10.89538704,1.147708333,28200,1.103180394,1.010184528,0.118834081
Arable,France,FR34,5,5.333333333,7.663911846,1.303875529,2.86440678,0.810143417,2,3,30,13,180,88.5,0,0,4,1,1,67,1,-0.024501881,-6.50E-04,47.390616,4.77522,NA,NA,2.85,2.16,5.01,14.3,36.4,44.2,38.04,NA,9.52,95200,0.348,3480,1084.13,39.66,7.49,5.07,2.94,1,600.663,45.425,13.61164389,9.520762423,1.460104167,29400,1.149717563,1.093422178,0.115044248
Arable,France,FR36,6,12,18.88888889,0.672830551,1.400868307,0.375513881,8,2,20,3,176,0,0,0,2,1,0,69,0.521816506,-0.017553284,-0.022450347,48.326813,2.382192,NA,NA,2.31,1.02,3.33,16,61.2,21.4,16.4,NA,21.9,219000,0.112,1120,500.54,35.27,6.55,1.36,0.79,0.2,258.095,28.818,10.59665546,21.90314426,0.246805556,7900,1.191540614,1.191540614,0.160550459
Arable,France,FR37,4,5,5.87755102,1.214889654,3,0.876357639,8,2,20,1,65,0,0,0,2,2,0,70,0.548585836,0.024097088,-0.039465556,48.327091,2.380599,NA,NA,1.32,0.69,2.01,15.3,63.1,19.8,15.09,NA,5.69,56900,0.136,1360,580.1,56.05,5.9,1.85,1.07,0.2,233.1,34.119,24.09063194,5.688442413,0.36375,10700,1.400498491,1.400498491,0.16744186
Arable,Switzerland,CH1,39,39,39.30163994,2.689559978,7.869459971,0.734138043,8,2,20,2,142,1,156,94,1,0,0,73,0.406984065,-0.107947946,0.091870396,47.16714,8.3826,20329,8515.5,3.27,1.46,4.73,31,39.5,25.6,27.96,NA,36.5,365000,0.319,3190,1050.02,22.6,7.54,3.9,2.26,1.1,1086.734,164.381,7.802705038,36.49904206,0.917473958,22600,1.17228227,1.157356048,0.301337154
Arable,Switzerland,CH3,9,9,9.293037037,1.824532211,4.746835443,0.830380394,10,3,17,0,0,1,162.5,98.75,0,0,0,75,0.341689791,-0.012618127,0.001483882,47.31341,9.4942,13897,6045,3.44,1.43,4.87,39.17,37.1,21.1,20.3,NA,31.24,312400,0.219,2190,858.32,23.42,6.54,2.63,1.53,0.1,702.672,102.328,13.31679683,31.24461536,0.775390625,15300,0.942216597,0.894944709,0.20831881
Arable,Switzerland,CH4,19,19.25,19.80228791,2.644479474,11.03156917,0.898126771,9,2,20,1,75,1,49,18.5,1,0,0,76,0.330299464,-0.051137099,0.034121662,47.19244,8.38031,NA,NA,2.92,1.39,4.31,20.35,39.1,36.7,32.87,NA,46.46,464600,0.331,3310,1427.18,91.62,7.25,3.85,2.23,0.2,881.571,129.293,47.31601734,46.46199598,0.661536458,22300,0.915180712,0.915180712,0.338231435
Arable,Switzerland,CH6,7,7,7,0.480101581,1.223924449,0.246723407,9,4,17,0,0,1,120,90,0,0,0,78,0.435658735,-0.015616209,-0.004810208,47.31384,9.4944,18706,8377,4.75,2.35,7.1,33.98,41.8,21.3,20.66,NA,17.58,175800,0.255,2550,763.79,15.58,6.56,2.92,1.69,0.1,847.923,126.956,7.369298751,17.58211371,0.801223958,16900,1.08927155,1.08927155,0.193648087
Arable,Switzerland,CH7,6,9,9.6484375,1.471883255,3.574257426,0.821473686,14,2,25,3,146,1,68.25,41.125,1,2,0,79,0.602845202,-0.07256206,0.063336537,47.26514,8.29628,NA,NA,2.36,1.26,3.62,36.13,34.3,25.8,20.62,NA,31.26,312600,0.237,2370,1000.32,36.85,7.75,3.77,2.19,7.4,1048.853,183.031,11.20247935,31.25797359,1.092057292,21900,1.036548527,0.977523294,0.183800623
Arable,Switzerland,CH9,17,19,21.19530321,1.376940675,2.227714172,0.485999643,12,3,NA,0,0,2,115,69,0,0,0,81,NA,-0.101001318,0.096078617,47.19478,8.38354,17732,7184,3.31,1.73,5.04,29.24,36.2,29.7,30.91,NA,29.72,297200,0.358,3580,675.11,31.81,7.18,4.86,2.82,0.1,1100.185,157.634,9.806269303,29.72400113,1.180494792,28200,0.938461482,0.914687671,0.269303998
Arable,Switzerland,CH10,5,6.5,9.5625,1.427061043,3.52173913,0.88668288,10,2,18,2,109,3,318,208,1,2,0,82,0.603915439,-0.07390364,0.049812157,47.27454,8.27622,18927,10128,3.58,1.46,5.04,24.55,43.5,28.3,28.92,NA,19.63,196300,0.309,3090,1713.92,69.87,7.05,3.65,2.11,0.2,836.352,137.147,37.62364292,19.6349911,0.678932292,21100,1.038383437,1.038383437,0.234260067
Arable,Switzerland,CH12,2,2,2,0.661563238,1.882352941,0.954434003,11,5,25,0,0,1,52,31.33333333,0,0,0,84,0.581417506,-0.08847483,0.061827066,47.18377,8.43757,11593,4856,3.67,1.42,5.09,13.97,34.6,45.2,49.63,NA,39.53,395300,0.479,4790,1154.24,62.68,6.96,6.23,3.61,0.3,1292.435,176.221,22.19435747,39.52767454,1.339869792,36100,0.955364682,0.955364682,0.351948052
Arable,Switzerland,CH13,4,4,4.545189504,0.984982593,2.107569721,0.710514751,11,2,20,1,90,1,95.5825,58.08475,1,0,0,85,0.359673567,-0.098614273,0.059709615,47.31641,9.307,14968,7843,3,2.38,5.38,39.94,40.7,16.1,20.69,NA,35.45,354500,0.284,2840,897.66,23.57,7.1,3.26,1.89,0.3,902.152,151.623,15.15514079,35.45211596,1.088916667,18900,1.046558249,1.007205183,0.213592233
Arable,Switzerland,CH15,4,4,4.681640625,1.149917138,2.700934579,0.829489876,16,5,5,0,0,1,195,117.5,0,0,0,87,0.431157377,-0.032907555,0.012140017,47.5,8.75,15601,6713,2.5,1.72,4.22,25.5,40.3,31.4,24.73,NA,37.66,376600,0.241,2410,1033.33,42.68,6.78,2.8,1.62,0.2,743.494,105.524,18.21719274,37.65567867,0.676354167,16200,1.106568272,1.092624035,0.152671756
